,Event.ID,daily.count,Event.Date,Source.Name,Source.Sectors,Source.Country,Event.Text,CAMEO.Code,Intensity,Target.Name,Target.Sectors,target.recode,Target.Country,Story.ID,Sentence.Number,Publisher,City,District,Province,Country,Latitude,Longitude
371907,20203888,4,7/5/13,Citizen (Brazil),"General Population / Civilian / Social,Social",Brazil,Demonstrate or rally,141,-6.5,Unspecified Actor,Unspecified,Unidentified/Unspecified,,27341154,4,O Globo,Bahia,Santana Do Acarau,Estado do Ceara,Brazil,-3.55,-40.2433
377773,20214939,4,7/9/13,Brazil,,Brazil,Investigate,90,-2,National Security Agency,"Government,Defense / Security Ministry,Executive",Defense/Security,United States,27378992,6,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
377774,20214940,4,7/9/13,Colombia,,Colombia,Investigate,90,-2,National Security Agency,"Government,Defense / Security Ministry,Executive",Defense/Security,United States,27378992,6,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
377775,20214941,4,7/9/13,Mexico,,Mexico,Investigate,90,-2,National Security Agency,"Government,Defense / Security Ministry,Executive",Defense/Security,United States,27378992,6,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
377776,20214942,4,7/9/13,Venezuela,,Venezuela,Investigate,90,-2,National Security Agency,"Government,Defense / Security Ministry,Executive",Defense/Security,United States,27378992,6,Agence France-Presse,Brasilia,Brasilia,Distrito Federal,Brazil,-15.7797,-47.9297
382195,20223443,4,7/11/13,Police (Brazil),"Government,Police",Brazil,"Arrest, detain, or charge with legal action",173,-5,Men (Brazil),"General Population / Civilian / Social,Social",General Population/Civilian,Brazil,27369697,4,Agence France-Presse,Candelaria,Candelaria,Estado do Rio Grande do Sul,Brazil,-29.6692,-52.7889
382676,20224034,4,7/11/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Bolivia),"General Population / Civilian / Social,Social",General Population/Civilian,Bolivia,27370674,4,Agence France-Presse,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
382852,20224230,4,7/11/13,Brazil,,Brazil,"Arrest, detain, or charge with legal action",173,-5,Citizen (Bolivia),"General Population / Civilian / Social,Social",General Population/Civilian,Bolivia,27371187,4,Agence France-Presse,Rio de Janeiro,Rio De Janeiro,Estado do Rio de Janeiro,Brazil,-22.9028,-43.2075
383343,20224769,4,7/11/13,Spain,,Spain,"Arrest, detain, or charge with legal action",173,-5,Citizen (Spain),"General Population / Civilian / Social,Social",General Population/Civilian,Spain,27372351,1,Folha de Ṣo Paulo,Brasileira,Brasileira,Estado do Piaui,Brazil,-4.13333,-41.7833
386273,20231427,4,7/13/13,Brazil,,Brazil,Host a visit,43,2.8,Tourist (Germany),"General Population / Civilian / Social,Social",General Population/Civilian,Germany,27362497,6,Agencia EFE - Servi̤o em portugu̻s,Rocinha,Guaraniacu,Estado do Parana,Brazil,-25.1167,-52.85
